Land Use Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Land converted to settlements,62.9210493460608,64.3679585171501,66.0535522476271,67.8791063005714,69.7076525999971,71.6296148707325,73.8562611646101,75.7621095476491,77.6644637709237,79.370503488596,81.1947656235879,82.6431387201985,84.5724879370933,85.0186825546181,85.6607115797989,86.0382749824947,86.6743926485116,87.0562891879713,87.1894333824503,86.9920669333432,86.6035751707586,86.0413135595448,85.909058545744,86.3660642929167,86.5482804408443,86.474047107511,86.357847107511,86.2115137741777
Land converted to cropland,75.5795810246214,76.2007236211474,78.3061851116924,72.9922759602597,69.7231779661325,75.6497830388019,72.6337792725618,74.1913996491145,68.345468660648,68.2743794472226,68.0006645557286,67.1055100426422,66.7708457834466,68.1436356863655,67.1849389650853,66.6571323946912,67.5888446909841,66.0865956915154,66.4213752010968,65.8178839916274,67.5398841649964,67.3821450165152,66.4513938557907,66.944550708305,66.7497987307631,66.7090987307633,67.3144653974299,66.8652987307631
Land converted to grassland,8.7378150627065,8.5798075232005,8.9144887966135,8.1959754850858,6.3073061651048,7.574633310094,6.6079718162808,6.841316631575,5.5508512482519,5.2195075736344,3.1790000772765,4.1406480394972,4.0179505657043,4.4093260762046,5.0366036378497,5.1236786682378,4.0855839106021,5.9429218602807,6.3238831691421,6.8050317107666,6.8640977123917,6.8827905483072,6.8034577247511,8.2690566997511,7.9267801045847,9.7861467712513,8.4998801045846,8.346613437918
Grassland remaining grassland,-4.057825182891301,-6.6952963542458,-1.5296824774236002,6.6036773353431,-18.9062389049931,3.8993682923064,-16.316916156228,-4.0842472309005,-11.6855550346757,1.1298947732028,-28.5282606363301,-4.953076387692501,-6.8811185753487,-3.6756731382159002,4.298465961633,6.1526440565693,-10.010977307437,5.8737382229736,-6.5585527953674,-1.6827386233435004,4.8400763510806,-10.8643129378413,-19.600988435664203,-3.3438863956271,-6.732097427728,10.2479912671106,-1.0176805565140001,0.5825198608275
Land converted to wetlands,-0.029228322148,-0.029228322148,-0.029228322148,-0.029228322148,-0.029228322148,-0.029228322148,-0.03780762895,-0.03780762895,-0.03780762895,-0.03780762895,-0.03780762895,-0.019517019955799998,-0.019517019955799998,-0.019517019955799998,-0.019517019955799998,-0.019517019955799998,-0.030360317540700003,-0.030360317540700003,-0.030360317540700003,-0.030360317540700003,-0.030360317540700003,-0.029228322148,-0.029228322148,-0.029228322148,-0.029228322148,-0.029228322148,-0.029228322148,-0.029228322148
Wetlands remaining wetlands,-0.4980396695248003,-0.5755681553696002,-0.5978967386489003,-0.5361621420533003,-0.5921167198153999,-0.47215980660180007,-3.8048205224760996,-3.612510428531,-3.5544583200429,-3.4673299032889,-3.3948063470783003,-1.978813561101,-2.0569021165481995,-2.0640183882417,-1.9372145278408999,-2.0054241977218004,4.3017454325178,4.499079472357,4.486716255138501,4.5231592647842,4.5649299970283,-0.3883367840496001,-0.5878440704551995,-0.6218431509919994,-0.6189801880484003,-0.6384131557525,-0.6543363313528996,-0.6521052966759999
Cropland remaining cropland,-40.9401056434515,-48.0837155067442,-39.9728090153867,-21.0508880144582,-32.8361455370719,-26.3068629584855,-34.5306653488838,-33.8448622671872,-22.6903362145228,-42.2994881292423,-47.6547496710158,-36.0017428145393,-32.1138072374351,-24.0376129216336,-23.040616647136,-26.5443180127319,-22.2337949954772,-20.0641336626035,-8.4744438654651,-3.1501471645172,-3.3684808294697,-19.1497367501854,-21.3845112295969,-11.3670333333333,-12.0178666666666,-6.3206,-9.9407,-10.2802333333334
Land converted to forest land,-119.072932065969,-119.1328191596563,-119.1333055697218,-119.2282449378149,-119.3118640369787,-119.3973507698023,-119.4550171952957,-119.4810172125708,-119.5250850268726,-119.6162835731878,-119.6666588974652,-119.7434398603561,-119.7594011368615,-119.8173224792235,-119.8771310761536,-119.9509317976661,-120.0528801317024,-120.0941540257162,-120.1393962426147,-120.1882840604186,-120.2545138926901,-120.3759461444174,-120.4180537731485,-120.4510855753114,-120.4929926924507,-120.5956646318523,-120.6354481904515,-120.6180994689012
Settlements remaining settlements,-120.6913604876716,-120.25722596009541,-120.6827030241768,-119.0924304858176,-117.9870592274669,-116.6026488923841,-116.2321160304179,-117.1357766028068,-117.5970819476862,-119.1663934647329,-121.1951603850498,-121.8350850841605,-122.8702086369941,-122.51376379761291,-123.5506249702662,-125.2640695409646,-126.628806875164,-127.2095104540213,-128.9739509742308,-132.1505866014184,-133.86636464010869,-134.3440125038941,-134.3491608751774,-133.2770323126212,-133.2083017586551,-132.8723272237122,-132.18639774221742,-132.0683770204767
Forest land remaining forest land,-668.9630289385871,-671.4526508690373,-664.8722205530925,-669.6240006968766,-658.3402198867794,-649.0436865197717,-649.5821214654501,-646.1267043361732,-642.1361069906412,-627.3135394558186,-599.3347300907902,-591.4878613921676,-593.7148826031786,-514.5649609508822,-561.7841246615899,-630.2217177008556,-622.1712759428087,-601.7912026851704,-554.4689580048835,-592.2260285158849,-582.2513716666468,-606.7311044110011,-588.8958621590707,-605.949857423784,-558.1441069451429,-623.8182261280401,-620.3223177529477,-612.4533414679379
Total,-807.0140748768546,-817.0780146657986,-793.5436195446653,-773.8899195179085,-802.2647359040191,-753.0985377572586,-786.8614520942489,-767.528099878781,-765.6656474835678,-757.9065568725647,-767.4377434000864,-722.130239317635,-722.0545530400777,-629.1212243785774,-668.0285087585755,-740.0342481679028,-738.4775288875144,-699.7307367099542,-654.2242541922744,-685.2900033826019,-669.3585279502005,-731.5764287291697,-726.1017387389751,-713.4602948128442,-670.0187147246476,-711.0571755848689,-722.613916286106,-714.0954391057869
